Data,Horário,Em casa,Resultado,Visitante,Público,Local
2024-06-30,18:30,Criciúma,1–1,Internacional,14.946,Estádio Heriberto Hülse
2024-06-30,18:30,Vitória,0–1,Ath Paranaense,20.376,Estádio Manoel Barradas
2024-07-01,20:00,Palmeiras,2–0,Corinthians,41.175,Allianz Parque
2024-07-03,18:00 (19:00),Cuiabá,1–2,Botafogo (RJ),,Arena Pantanal
2024-07-03,20:00,Vasco da Gama,2–0,Fortaleza,,Estádio Club de Regatas Vasco da Gama
2024-07-03,20:00,Criciúma,1–0,Cruzeiro,,Estádio Heriberto Hülse
2024-07-04,19:00,Grêmio,2–2,Palmeiras,,Estádio Francisco Stédile
2024-07-04,19:00,Bahia,2–0,Juventude,40.442,Itaipava Arena Fonte Nova
2024-07-04,20:00,Corinthians,3–2,Vitória,,Neo Química Arena
2024-07-04,20:00,Fluminense,1–1,Internacional,,Estadio Jornalista Mário Filho
2024-07-03,21:30,Ath Paranaense,1–2,São Paulo,,Ligga Arena
2024-07-03,21:30,Red Bull Bragantino,3–1,Atl Goianiense,,Estádio Nabi Abi Chedid
2024-07-03,21:30,Atlético Mineiro,2–4,Flamengo,,Arena MRV
2024-07-06,20:00,Flamengo,1–1,Cuiabá,,Estadio Jornalista Mário Filho
2024-07-06,20:00,São Paulo,2–0,Red Bull Bragantino,,Estádio do Morumbi
2024-07-07,16:00,Fortaleza,1–0,Fluminense,,Estádio Castelão
2024-07-07,16:00,Juventude,3–0,Grêmio,,Estádio Alfredo Jaconi
2024-07-07,16:00,Cruzeiro,3–0,Corinthians,,Estádio Governador Magalhães Pinto
2024-07-07,18:00,Internacional,1–2,Vasco da Gama,,Estádio José Pinheiro Borba
2024-07-07,18:30,Atl Goianiense,1–2,Ath Paranaense,,Estádio Antônio Accioly
2024-07-07,18:30,Palmeiras,2–0,Bahia,,Allianz Parque
2024-07-07,18:30,Vitória,2–1,Criciúma,,Estádio Manoel Barradas
2024-07-07,20:30,Botafogo (RJ),3–0,Atlético Mineiro,,Estádio Nilton Santos
2024-07-10,18:30,Grêmio,0–2,Cruzeiro,,Estádio Francisco Stédile
2024-07-10,19:00,Ath Paranaense,1–3,Bahia,,Ligga Arena
2024-07-10,19:00,Vasco da Gama,2–0,Corinthians,,Estádio Club de Regatas Vasco da Gama
2024-07-11,19:30,Palmeiras,3–1,Atl Goianiense,,Allianz Parque
2024-07-11,20:00,Flamengo,1–2,Fortaleza,,Estadio Jornalista Mário Filho
2024-07-11,20:00,Criciúma,1–1,Fluminense,,Estádio Heriberto Hülse
2024-07-11,21:30,Vitória,0–1,Botafogo (RJ),,Estádio Manoel Barradas
2024-07-11,21:30,Atlético Mineiro,2–1,São Paulo,,Arena MRV
2024-07-13,16:00,Cruzeiro,2–1,Red Bull Bragantino,,Estádio Raimundo Sampaio
2024-07-13,16:00,Bahia,1–2,Cuiabá,,Itaipava Arena Fonte Nova
2024-07-16,19:00,Juventude,1–1,Atlético Mineiro,,Estádio Nacional de Brasília
2024-07-17,19:00,Atl Goianiense,0–1,Vasco da Gama,,Estádio Antônio Accioly
2024-07-17,20:00,São Paulo,1–0,Grêmio,,Estádio do Morumbi
2024-07-16,21:00,Corinthians,2–1,Criciúma,43.241,Neo Química Arena
2024-07-17,21:30,Fortaleza,3–1,Vitória,,Estádio Castelão
2024-07-17,21:30,Botafogo (RJ),1–0,Palmeiras,,Estádio Nilton Santos
2024-07-20,16:00,Flamengo,2–1,Criciúma,,Estádio Nacional de Brasília
2024-07-20,18:30,Botafogo (RJ),1–0,Internacional,,Estádio Nilton Santos
2024-07-21,11:00,Grêmio,2–0,Vitória,,Estádio Francisco Stédile
2024-07-21,16:00,Bahia,0–1,Corinthians,48.346,Itaipava Arena Fonte Nova
2024-07-21,16:00,Atlético Mineiro,2–0,Vasco da Gama,42.353,Arena MRV
2024-07-21,18:30,Red Bull Bragantino,1–0,Ath Paranaense,4.423,Estádio Nabi Abi Chedid
2024-07-21,18:30,Fortaleza,3–1,Atl Goianiense,,Estádio Castelão
2024-07-21,18:30,Juventude,0–0,São Paulo,,Estádio Nacional de Brasília
2024-07-21,19:00 (20:00),Cuiabá,0–1,Fluminense,,Arena Pantanal
2024-07-20,21:00,Palmeiras,2–0,Cruzeiro,,Allianz Parque
2024-07-24,19:00,Criciúma,1–1,Fortaleza,,Estádio Heriberto Hülse
2024-07-24,19:00,Cruzeiro,2–0,Juventude,,Estádio Governador Magalhães Pinto
2024-07-24,19:30,São Paulo,2–2,Botafogo (RJ),,Estádio do Morumbi
2024-07-24,20:00,Vitória,1–2,Flamengo,,Estádio Manoel Barradas
2024-07-25,20:00,Corinthians,2–2,Grêmio,45.183,Neo Química Arena
2024-07-24,21:30,Atl Goianiense,1–1,Bahia,,Estádio Antônio Accioly
2024-07-24,21:30,Fluminense,1–0,Palmeiras,,Estadio Jornalista Mário Filho
2024-07-27,19:00,Palmeiras,0–2,Vitória,,Allianz Parque
2024-07-27,19:00,Juventude,1–2,Criciúma,,Estádio Alfredo Jaconi
2024-07-27,20:00,Bahia,1–1,Internacional,,Itaipava Arena Fonte Nova
